8818,M_S 896E-02,M_S896E02-S19R
8819,HIST 0278-01,HIST027801-S19R
8820,PLSI 0787-01,PLSI078701-S19R
8822,ANTH 0755-01,ANTH075501-S19R
8823,SXS 0805-01,SXS080501-S19R
8824,SXS 0801-01,SXS080101-S19R
8825,S_ED 0660-01,S_ED066001-S19R
8826,HTM 0425-01,HTM042501-S19R
8827,AA_S 0685-01,AA_S068501-S19R
8828,ACCT 0699-01,ACCT069901-S19R
8829,BIOL 0443-01,BIOL044301-S19R
8830,ACCT 0899-01,ACCT089901-S19R
8831,AFRS 0685-01,AFRS068501-S19R
8832,AFRS 0699-01,AFRS069901-S19R
8833,AIS 0685-01,AIS068501-S19R
8834,ACCT 0101-06,ACCT010106-S19R
8835,SOC 0105-01,SOC010501-S19R
8836,ACCT 0101-07,ACCT010107-S19R
8837,ACCT 0301-05,ACCT030105-S19R
8838,MUS 0335-01,MUS033501-S19R
8839,ACCT 0307-01,ACCT030701-S19R
8840,AIS 0699-01,AIS069901-S19R
8841,ACCT 0307-02,ACCT030702-S19R
8842,ACCT 0504-02,ACCT050402-S19R
8843,ACCT 0508-03,ACCT050803-S19R
8844,ACCT 0518-01,ACCT051801-S19R
8845,EDAD 0784-01,EDAD078401-S19R
8846,ENG 0114-01,ENG011401-S19R
8847,ENG 0114-02,ENG011402-S19R
8848,ENG 0114-03,ENG011403-S19R
8849,ENG 0114-04,ENG011404-S19R
8850,ENG 0114-05,ENG011405-S19R
8851,ANTH 0685-01,ANTH068501-S19R
8852,ENG 0114-06,ENG011406-S19R
8853,ENG 0114-07,ENG011407-S19R
8854,ENG 0114-08,ENG011408-S19R
8855,ENG 0114-09,ENG011409-S19R
8856,ENG 0114-10,ENG011410-S19R
8857,ENG 0114-11,ENG011411-S19R
8858,ENG 0114-12,ENG011412-S19R
8859,ENG 0114-13,ENG011413-S19R
8860,ENG 0114-14,ENG011414-S19R
8861,ENG 0114-15,ENG011415-S19R
8862,ANTH 0699-01,ANTH069901-S19R
8863,ENG 0114-16,ENG011416-S19R
8864,ENG 0114-17,ENG011417-S19R
8865,ENG 0114-18,ENG011418-S19R
8866,ENG 0114-19,ENG011419-S19R
8867,ENG 0114-20,ENG011420-S19R
8868,ENG 0114-21,ENG011421-S19R
8869,ENG 0114-22,ENG011422-S19R
8870,ENG 0114-23,ENG011423-S19R
8871,ENG 0114-24,ENG011424-S19R
8872,ENG 0114-25,ENG011425-S19R
8873,ANTH 0899-01,ANTH089901-S19R
8874,ENG 0114-26,ENG011426-S19R
8875,ENG 0114-27,ENG011427-S19R
8876,ENG 0114-28,ENG011428-S19R
8877,ENG 0114-29,ENG011429-S19R
8878,ENG 0114-30,ENG011430-S19R
8879,ENG 0114-31,ENG011431-S19R
8880,ENG 0114-32,ENG011432-S19R
8881,ENG 0114-33,ENG011433-S19R
8882,ENG 0114-34,ENG011434-S19R
8884,ENG 0114-36,ENG011436-S19R
8885,ENG 0114-37,ENG011437-S19R
8886,ACCT 0800-01,ACCT080001-S19R
8887,ENG 0114-38,ENG011438-S19R
8888,ENG 0114-39,ENG011439-S19R
8889,ENG 0114-40,ENG011440-S19R
8891,ENG 0114-42,ENG011442-S19R
8892,ENG 0114-43,ENG011443-S19R
8893,ENG 0114-44,ENG011444-S19R
8895,ACCT 0807-01,ACCT080701-S19R
8896,ENG 0114-46,ENG011446-S19R
8897,ENG 0114-47,ENG011447-S19R
8898,ENG 0114-48,ENG011448-S19R
8899,ENG 0114-49,ENG011449-S19R
8900,ENG 0114-50,ENG011450-S19R
8901,ENG 0114-51,ENG011451-S19R
8902,ENG 0114-52,ENG011452-S19R
8903,ENG 0114-53,ENG011453-S19R
8904,ENG 0114-54,ENG011454-S19R
8905,ENG 0114-55,ENG011455-S19R
8906,ENG 0114-56,ENG011456-S19R
8907,ENG 0114-57,ENG011457-S19R
8908,ENG 0114-58,ENG011458-S19R
8909,ENG 0114-59,ENG011459-S19R
8910,ENG 0114-60,ENG011460-S19R
8912,ENG 0114-62,ENG011462-S19R
8913,ENG 0114-63,ENG011463-S19R
8914,ASTR 0699-01,ASTR069901-S19R
8915,ENG 0114-64,ENG011464-S19R
8916,ENG 0114-65,ENG011465-S19R
8917,ENG 0214-01,ENG021401-S19R
8918,ENG 0214-02,ENG021402-S19R
8919,ENG 0214-03,ENG021403-S19R
8920,ENG 0214-04,ENG021404-S19R
8921,ENG 0214-05,ENG021405-S19R
8922,ENG 0214-06,ENG021406-S19R
8923,ENG 0214-07,ENG021407-S19R
8924,ENG 0214-08,ENG021408-S19R
8925,BECA 0685-01,BECA068501-S19R
8926,ENG 0214-09,ENG021409-S19R
8927,ENG 0214-10,ENG021410-S19R
8928,ENG 0214-11,ENG021411-S19R
8929,ENG 0214-12,ENG021412-S19R
8930,ENG 0214-13,ENG021413-S19R
8931,ENG 0214-14,ENG021414-S19R
8932,ENG 0214-15,ENG021415-S19R
8933,ENG 0214-16,ENG021416-S19R
8934,ENG 0214-17,ENG021417-S19R
8935,ENG 0214-18,ENG021418-S19R
8936,ENG 0214-19,ENG021419-S19R
8937,ENG 0214-20,ENG021420-S19R
8938,ENG 0214-21,ENG021421-S19R
8939,ENG 0214-22,ENG021422-S19R
8940,ENG 0214-23,ENG021423-S19R
8941,ENG 0214-24,ENG021424-S19R
8942,ENG 0214-25,ENG021425-S19R
8943,ENG 0214-26,ENG021426-S19R
