School ID	Term Code	Course Registration Number
900012170	2203	10610
900012170	2203	10611
900183965	2203	3451
900183965	2203	6719
900183965	2203	10381
900462776	2203	3602
900462776	2203	5627
900462776	2203	8496
900532027	2203	6668
900532027	2203	7019
900532027	2203	10000
900532027	2203	10646
901627589	2203	5602
901627589	2203	6107
901627589	2203	6289
901627589	2203	10423
901589616	2203	1718
901589616	2203	4583
901666420	2203	6826
902262171	2203	2197
902262171	2203	10181
902391820	2203	2535
902391820	2203	4960
902391820	2203	7688
902391820	2203	10119
902487565	2203	2853
902611312	2203	3843
902611312	2203	3849
902611312	2203	9068
902611312	2203	9346
902814606	2203	9323
902814606	2203	9326
902814606	2203	9570
902814606	2203	9571
902831766	2203	6878
902831766	2203	10496
902841815	2203	10177
903822782	2203	6308
903822782	2203	9407
903916330	2203	5448
903916330	2203	6005
903916330	2203	6148
903916330	2203	7775
904066064	2203	3437
904066064	2203	7076
904066064	2203	8039
904133391	2203	5448
904133391	2203	6005
904133391	2203	6148
904181764	2203	7061
904181764	2203	10086
904181764	2203	10369
904181764	2203	10382
904181764	2203	10391
904306239	2203	4583
904306798	2203	1351
904366910	2203	3645
904306798	2203	5418
904306798	2203	9757
904431858	2203	2246
904431858	2203	4539
904642783	2203	3843
904642783	2203	8290
904642783	2203	8584
904707692	2203	3550
904707692	2203	9118
904962713	2203	1320
904962713	2203	1324
904962713	2203	1331
904962713	2203	5622
904962713	2203	7111
904962713	2203	8819
905695003	2203	5649
905695003	2203	6847
905695003	2203	9482
905853018	2203	2077
905853018	2203	2080
905853018	2203	2088
905881215	2203	5035
905881215	2203	8053
905881215	2203	8687
905881215	2203	9211
905881215	2203	9921
905853018	2203	6108
905888989	2203	6005
905990597	2203	4445
905990597	2203	5977
905990597	2203	5981
906269590	2203	2006
906269590	2203	2889
906269590	2203	2893
906269590	2203	6081
906269590	2203	10524
906344626	2203	1398
906344626	2203	1445
906344626	2203	1750
906720482	2203	2335
906720482	2203	2336
906720482	2203	2343
906720482	2203	2345
906720482	2203	6919
907154344	2203	1641
907154344	2203	6765
907154344	2203	6766
907154344	2203	8283
907403385	2203	1142
907403385	2203	2995
907403385	2203	6875
907403385	2203	9612
907590806	2203	5946
907590806	2203	7969
908070038	2203	2762
908070038	2203	6289
908070038	2203	10847
908104267	2203	9323
908104267	2203	9326
908104267	2203	9570
908104267	2203	9571
908488053	2203	3550
908488053	2203	3553
908488053	2203	8134
908488053	2203	9118
908816108	2203	9289
908940245	2203	2767
909007182	2203	3955
909007182	2203	3971
909007182	2203	3972
909007182	2203	6717
909180160	2203	2012
909180160	2203	5428
909180160	2203	9536
909182487	2203	2201
909182487	2203	2202
909182487	2203	3645
909182487	2203	5446
909182487	2203	6148
909244510	2203	5619
909244510	2203	10388
909803224	2203	2004
909803224	2203	2891
909803224	2203	8659
909803224	2203	9211
909803224	2203	9749
909803224	2203	10733
909803224	2203	10734
909548437	2203	1448
909548437	2203	1449
909548437	2203	1767
909548437	2203	1769
909548437	2203	2883
909548437	2203	9401
909647978	2203	9594
909647978	2203	9599
909807826	2203	8186
909807826	2203	10417
909863362	2203	10620
910113261	2203	6063
910113261	2203	10320
910113261	2203	11023
909898293	2203	2545
909898293	2203	7191
909898293	2203	7192
909898293	2203	7193
909999836	2203	2995
909999836	2203	6632
909999836	2203	6675
910026200	2203	3000
910026200	2203	3014
910068437	2203	3640
910068437	2203	5446
910068437	2203	6001
910068437	2203	6148
910106592	2203	10620
910110973	2203	3658
910110973	2203	6427
910110973	2203	7786
910118071	2203	10617
910257730	2203	10790
910257730	2203	10797
909898293	2203	7218
909898293	2203	7232
909898293	2203	7246
909898293	2203	9621
909999836	2203	10011
909999836	2203	10014
910237008	2203	1338
910237008	2203	2798
910237008	2203	5622
910237008	2203	7111
910237008	2203	7841
910237008	2203	9686
910237008	2203	9712
910270158	2203	2186
910270158	2203	2415
910270158	2203	2979
910270158	2203	6751
910362978	2203	2616
910362978	2203	5143
910362978	2203	6770
910362978	2203	9346
910362978	2203	10073
910213673	2203	2309
910213673	2203	2310
910213673	2203	2357
910213673	2203	2358
910213673	2203	6933
910213673	2203	10916
910213673	2203	10917
910581300	2203	3489
910581300	2203	3514
910688407	2203	9289
910698742	2203	2197
910698742	2203	2203
910729604	2203	10617
910698742	2203	10173
910843146	2203	7526
910843146	2203	9594
911136075	2203	2968
911136075	2203	3969
910843328	2203	6095
910889842	2203	3535
910889842	2203	5304
910914269	2203	4333
910914269	2203	5298
910914269	2203	6568
910914269	2203	7100
910914269	2203	9680
910960224	2203	1415
910971261	2203	2116
910994232	2203	4967
910994232	2203	5923
910994232	2203	8479
910994232	2203	10051
911009728	2203	5449
911009728	2203	5662
911009728	2203	7003
911009728	2203	8362
911009728	2203	10157
911028786	2203	1331
911028786	2203	2447
911028786	2203	7759
911028786	2203	10054
911031074	2203	6742
911031074	2203	7017
911031074	2203	7128
911031074	2203	7525
911031074	2203	7527
911069255	2203	6263
911069255	2203	10571
911099532	2203	2315
911099532	2203	2316
